"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"CDID","YBHA"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","13-02-2025"
"Next release","28 March 2025"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"1948","11429"
"1949","12172"
"1950","12742"
"1951","14305"
"1952","15536"
"1953","16682"
"1954","17597"
"1955","19169"
"1956","20844"
"1957","22104"
"1958","23220"
"1959","24388"
"1960","26201"
"1961","27918"
"1962","29235"
"1963","31099"
"1964","34047"
"1965","36828"
"1966","39394"
"1967","41673"
"1968","45795"
"1969","49761"
"1970","56041"
"1971","62870"
"1972","70578"
"1973","81793"
"1974","92673"
"1975","115093"
"1976","136999"
"1977","159786"
"1978","186158"
"1979","220981"
"1980","259970"
"1981","290180"
"1982","319558"
"1983","351347"
"1984","377920"
"1985","414630"
"1986","446600"
"1987","496809"
"1988","555683"
"1989","614631"
"1990","670797"
"1991","705884"
"1992","730874"
"1993","769855"
"1994","810794"
"1995","851845"
"1996","909993"
"1997","953405"
"1998","998501"
"1999","1043248"
"2000","1100752"
"2001","1146135"
"2002","1191439"
"2003","1258334"
"2004","1322637"
"2005","1398749"
"2006","1472038"
"2007","1544637"
"2008","1593600"
"2009","1548802"
"2010","1608553"
"2011","1662590"
"2012","1713715"
"2013","1781361"
"2014","1862514"
"2015","1916451"
"2016","1991645"
"2017","2082482"
"2018","2152304"
"2019","2233921"
"2020","2103486"
"2021","2285400"
"2022","2526428"
"2023","2717320"
"2024","2848046"
"1955 Q1","4666"
"1955 Q2","4688"
"1955 Q3","4862"
"1955 Q4","4953"
"1956 Q1","5086"
"1956 Q2","5155"
"1956 Q3","5235"
"1956 Q4","5368"
"1957 Q1","5380"
"1957 Q2","5461"
"1957 Q3","5578"
"1957 Q4","5685"
"1958 Q1","5800"
"1958 Q2","5724"
"1958 Q3","5824"
"1958 Q4","5872"
"1959 Q1","5885"
"1959 Q2","6079"
"1959 Q3","6103"
"1959 Q4","6321"
"1960 Q1","6425"
