,date,gdp_pct_change,int_3m,cons_conf,unm_rate,ppi_diff,infl_rate_diff
1,1986-03-01,1.7895751630928158,11.77679,99.74067,11.2,0.0,-0.0031226871881007
4,1986-06-01,1.2192767096080193,9.82292,99.89935,11.3,0.07831702287720077,-0.0010235022262301
7,1986-09-01,1.7351175065180469,10.18892,100.0366,11.3,0.23495741317329788,0.0020356990009880002
10,1986-12-01,3.3842609542008573,11.40421,100.7712,11.2,0.07831622980950215,-0.005100931968244701
13,1987-03-01,2.0357750541980746,10.0142,102.0622,10.9,0.15664118336390231,-0.0020081115617922997
16,1987-06-01,3.049874720660939,8.93608,103.009,10.5,0.0,-0.000982064078437
19,1987-09-01,4.4192904492397656,10.19602,102.6596,10.0,0.1566324596190043,-8.658358951199856e-06
22,1987-12-01,2.1208473949606343,7.97283,101.6775,9.4,0.15664118336380284,-0.0058261952726402
25,1988-03-01,2.671494049223888,8.913039999999999,101.2025,8.9,0.07831702287720077,0.0021231229868894
28,1988-06-01,2.5111979772364013,8.975139999999998,101.2475,8.5,0.07832495355430069,-1.743375174330028e-05
31,1988-09-01,3.0527702554343783,12.19034,100.9329,8.4,0.07831622980949504,-0.0021003550498353
34,1988-12-01,2.960206248535169,13.15767,100.5475,7.7,0.15664118336379573,-0.0061224489795916
37,1989-03-01,2.520538873828193,13.0625,100.5523,7.4,0.3132736429828,0.0019958132634188006
40,1989-06-01,1.7756336502425585,14.182529999999998,100.5538,7.0,0.07831622980960162,-0.0059561555369683
43,1989-09-01,2.715817588026081,14.07217,100.1072,6.9,0.3915985965371007,0.005867004335981
46,1989-12-01,2.5783613310162767,15.15179,99.60282,6.8,0.2349582062410036,-0.0019341787506610998
49,1990-03-01,2.3090051199678774,15.31676,99.37785,6.7,0.3915985965371007,-0.0057612663963405
52,1990-06-01,2.246467471298197,15.01302,99.47208,6.7,0.07831622980950215,-0.0073930481283422
55,1990-09-01,2.00876924645661,14.95117,99.12041,6.9,0.6265568027782038,-8.131033226650014e-05
58,1990-12-01,0.5209680833548891,13.8817,98.63288,7.4,-0.07832495355429359,-0.0017698676163816999
61,1991-03-01,1.3091240918609692,12.4628,98.93243,8.1,0.24458604828699038,0.0017359833149307
64,1991-06-01,1.5185458912651884,11.29844,99.7405,8.6,-0.08152894711830072,-0.0034503199963165
67,1991-09-01,0.8292477619410432,10.33408,100.3986,9.0,0.08152894711830072,-0.006779145681250801
70,1991-12-01,1.3030234657039674,10.84837,100.3696,9.2,-0.16305789423650197,0.0016501559848942002
73,1992-03-01,1.0290105239712632,10.67045,100.406,9.3,0.4891720965742081,-2.446715963429994e-05
76,1992-06-01,0.2485697593668456,10.05078,100.0021,9.9,0.08152894711820124,-0.0064724919093852
79,1992-09-01,0.3678067392750561,10.03729,99.15178,10.1,0.0,0.0016077086904576002
82,1992-12-01,1.331631591056004,7.231319999999998,99.40015,10.5,0.08152894711830072,0.0016
85,1993-03-01,2.4817691862759395,6.03193,100.0334,10.6,0.4891728896418073,-2.300331247700061e-05
88,1993-06-01,0.1171009600168693,5.9517,100.5879,10.4,0.08152894711830072,-0.003154574132492
91,1993-09-01,1.975743142854136,5.95987,101.0037,10.3,0.0,-2.2285060590700352e-05
94,1993-12-01,1.7406175084731856,5.38281,101.0063,10.3,0.40764394252360603,0.0062597962382446
97,1994-03-01,1.459976335687907,5.227580000000001,100.5826,9.8,0.08152894711830072,-9.73520249220039e-06
100,1994-06-01,0.4479569160543706,5.18786,100.2322,9.6,0.0,-0.0030816640986131
103,1994-09-01,1.296022243149908,5.76811,100.0769,9.3,0.08152894711820124,-0.0046462819060913004
106,1994-12-01,1.8313558821793308,6.42685,99.76565,8.9,0.40764394252360603,0.0030651286835730006
109,1995-03-01,0.7931792382194436,6.72554,99.66493,8.8,0.24458604828708985,0.0015127749311580996
112,1995-06-01,1.0021231015494347,6.71484,99.83727,8.7,0.08152894711820124,-0.0030188219143441
115,1995-09-01,1.8353673581718464,6.795389999999999,99.94233,8.6,0.08152894711830072,-2.0199571769199953e-05
118,1995-12-01,1.4947627390315743,6.54985,99.89032,8.4,0.6522291977428978,0.0059612518628913
121,1996-03-01,1.656842221242849,6.139880000000001,99.93672,8.3,0.15861354276819384,-0.0014968288267753998
124,1996-06-01,2.146924803439409,5.93477,99.92188,8.2,-0.39653385692029985,-0.0029346605824927
127,1996-09-01,1.6468674150150076,5.86365,99.98461,8.1,0.3172270855363024,-0.0014897031462788
130,1996-12-01,1.1086850621107258,6.43164,100.1296,7.7,-0.23792031415230497,0.0014429954075103001
133,1997-03-01,0.1238917495838043,6.304130000000001,100.4279,7.2,-0.23792031415219128,-2.0852622006999316e-06
136,1997-06-01,1.3959243648737465,6.664619999999999,100.7285,7.3,-0.4758406283043968,-0.0028755892600942
139,1997-09-01,3.1313824693429693,7.296869999999998,100.9282,6.7,0.2379203141522055,-0.0014407640723429
142,1997-12-01,-0.8702154584449562,7.7179,100.9199,6.4,-0.23792031415219128,0.0014164305949009
145,1998-03-01,1.943051353255698,7.56676,100.7839,6.3,-0.15861354276819384,-8.047901107300064e-06
148,1998-06-01,0.863155498093171,7.71396,100.0773,6.3,-0.07930677138399744,-0.0056120845446686
151,1998-09-01,0.9992703995872264,7.467679999999999,99.18082,6.2,-0.23792031415219128,0.0013926919082237997
154,1998-12-01,1.3338122605363931,6.46034,99.52863,6.2,-0.3172270855363024,0.0013908151808643997
157,1999-03-01,0.7880993454167262,5.42287,100.8907,6.2,0.07930677138409692,0.004170524676411
160,1999-06-01,0.9773234389592876,5.22114,101.8477,6.0,-0.07930677138409692,-0.0041284473102653
163,1999-09-01,1.2383709230507245,5.4107,101.7073,5.8,0.2379203141522055,-7.610002586999967e-06
166,1999-12-01,2.1914802525955235,6.05531,101.0276,5.9,0.2379203141522055,0.0013698578513388
169,2000-03-01,1.858328626415351,6.22838,100.6829,5.7,0.07930677138399744,-7.568189386299943e-06
172,2000-06-01,0.5916160188024433,6.22682,100.4943,5.3,0.6344541710726048,-0.0013679687427501001
175,2000-09-01,0.8243403087077716,6.20569,100.4643,5.4,0.3172270855363024,0.0068212824010913
