date,infl_rate,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
2003-05-01,-0.0016375545851528006,136.7,1.2406962547147904,1.22,100.3536,6.1
2003-06-01,0.0010934937124111865,138.0,1.2406962547147904,1.04,100.5095,6.3
2003-07-01,0.003276897870016393,137.7,2.244393634589459,1.05,100.5117,6.2
2003-08-01,0.004354926510615087,138.0,2.244393634589459,1.08,100.4225,6.1
2003-09-01,0.003252032520325132,138.5,2.244393634589459,1.08,100.3871,6.1
2003-10-01,-0.0010804970286331095,139.3,1.777218661656188,1.1,100.5351,6.0
2003-11-01,0.0005408328826392861,138.9,1.777218661656188,1.11,100.827,5.8
2003-12-01,0.002702702702702675,139.5,1.777218661656188,1.1,101.1297,5.7
2004-01-01,0.004312668463611891,141.4,1.2844885686098317,1.06,101.4088,5.7
2004-02-01,0.0021470746108425143,142.1,1.2844885686098317,1.05,101.2953,5.6
2004-03-01,0.002142474558114671,143.1,1.2844885686098317,1.05,101.1277,5.8
2004-04-01,0.0016034206306787535,144.8,1.5881984463050003,1.08,100.9568,5.6
2004-05-01,0.004268943436499306,146.8,1.5881984463050003,1.2,100.8785,5.6
2004-06-01,0.0037194473963868546,147.2,1.5881984463050003,1.46,101.0162,5.6
2004-07-01,0.001058761249338236,147.4,1.5891599103924348,1.57,101.1275,5.5
2004-08-01,0.0005288207297726721,148.0,1.5891599103924348,1.68,101.1028,5.4
2004-09-01,0.003171247357294016,147.7,1.5891599103924348,1.86,100.9841,5.4
2004-10-01,0.005268703898840821,150.0,1.8033438743137342,2.04,100.895,5.5
2004-11-01,0.004716981132075304,151.4,1.8033438743137342,2.26,100.9591,5.4
2004-12-01,0.0,150.2,1.8033438743137342,2.45,101.0947,5.4
2005-01-01,-0.0005216484089722861,150.9,1.916403759048113,2.61,101.08,5.3
2005-02-01,0.0041753653444676075,151.6,1.916403759048113,2.77,100.9246,5.4
2005-03-01,0.0036382536382535413,153.7,1.916403759048113,2.97,100.6953,5.2
2005-04-01,0.0031071983428274663,155.0,1.2169383532255829,3.09,100.5071,5.2
2005-05-01,-0.0005162622612286949,154.3,1.2169383532255829,3.22,100.575,5.1
2005-06-01,0.0005165289256197081,154.3,1.2169383532255829,3.38,100.8249,5.0
2005-07-01,0.006195147134744561,156.3,1.702328066304637,3.57,100.7314,5.0
2005-08-01,0.0061570035915854415,157.6,1.702328066304637,3.77,100.1407,4.9
2005-09-01,0.013768485466598701,162.2,1.702328066304637,3.87,99.42278,5.0
2005-10-01,0.0015090543259557165,166.2,1.3814726141060607,4.13,99.18978,5.0
2005-11-01,-0.0050226017076845375,163.7,1.3814726141060607,4.31,99.57593,5.0
2005-12-01,0.0,163.0,1.3814726141060607,4.45,100.1521,4.9
2006-01-01,0.006057546693589266,164.3,2.0635829352357637,4.56,100.4121,4.7
2006-02-01,0.0005017561465128217,161.8,2.0635829352357637,4.72,100.3635,4.8
2006-03-01,0.0015045135406217547,162.2,2.0635829352357637,4.88,100.2323,4.7
2006-04-01,0.005007511266900355,164.3,1.1343641813170935,5.03,99.981,4.7
2006-05-01,0.002989536621823774,165.8,1.1343641813170935,5.15,99.69939,4.6
2006-06-01,0.0024838549428713996,166.1,1.1343641813170935,5.35,99.67864,4.6
2006-07-01,0.005450941526263575,166.8,0.848981315489139,5.46,99.71475,4.7
2006-08-01,0.004435682602267121,167.9,0.848981315489139,5.38,99.81288,4.7
2006-09-01,-0.004906771344455385,165.4,0.848981315489139,5.34,100.1277,4.5
2006-10-01,-0.004437869822485285,162.2,1.2211225976172635,5.33,100.5471,4.4
2006-11-01,0.0004952947003467045,164.6,1.2211225976172635,5.32,100.7777,4.5
2006-12-01,0.00544554455445545,165.6,1.2211225976172635,5.32,100.893,4.4
2007-01-01,0.001659281142294633,164.0,1.2542487086489862,5.32,100.9249,4.6
2007-02-01,0.003878350545869269,166.8,1.2542487086489862,5.31,100.7022,4.5
2007-03-01,0.005200121434097538,169.3,1.2542487086489862,5.3,100.4308,4.4
2007-04-01,0.003000662483924943,171.4,1.3114489093746018,5.31,100.257,4.5
2007-05-01,0.004132994016629032,173.3,1.3114489093746018,5.31,100.1968,4.4
2007-06-01,0.0023167517109623503,173.8,1.3114489093746018,5.33,100.1562,4.6
2007-07-01,0.0017805958481715844,175.1,1.125080387682842,5.32,100.1331,4.7
2007-08-01,0.00030828070885302594,172.4,1.125080387682842,5.49,99.90429,4.6
2007-09-01,0.0042375533907650365,173.5,1.125080387682842,5.46,99.64957,4.7
2007-10-01,0.0030832378312801723,174.7,1.0363896417475926,5.08,99.35554,4.7
2007-11-01,0.007858884267890387,179.0,1.0363896417475926,4.97,99.07018,4.7
2007-12-01,0.002898014551732553,178.6,1.0363896417475926,5.02,98.9023,5.0
2008-01-01,0.003447705076970342,181.0,-0.05789987372118999,3.84,98.74091,5.0
2008-02-01,0.0024178268779397882,182.7,-0.05789987372118999,3.06,98.35253,4.9
2008-03-01,0.003578027806118822,187.9,-0.05789987372118999,2.79,97.88428,5.1
2008-04-01,0.002314381020201539,190.9,1.0822601485135364,2.85,97.35648,5.0
2008-05-01,0.0059174916566171465,196.6,1.0822601485135364,2.66,96.97754,5.4
2008-06-01,0.0104782350098509,200.5,1.0822601485135364,2.76,96.85837,5.6
2008-07-01,0.007141444751521009,205.5,0.22399212791917034,2.79,97.06129,5.8
2008-08-01,-0.0014884757278006422,199.0,0.22399212791917034,2.79,97.31839,6.1
2008-09-01,0.0008550916822900323,196.9,0.22399212791917034,3.59,97.39437,6.1
2008-10-01,-0.008598436564828615,186.4,-1.9517418586308954,4.32,97.04175,6.5
2008-11-01,-0.017705477084725474,176.8,-1.9517418586308954,2.36,96.78537,6.8
2008-12-01,-0.008233522399403226,170.9,-1.9517418586308954,1.77,96.77791,7.3
2009-01-01,0.0025307713412614508,171.2,-1.2137490639680837,1.02,96.78511,7.8
2009-02-01,0.003642660652187324,169.3,-1.2137490639680837,1.16,96.7591,8.3
2009-03-01,-0.000987282856538485,168.1,-1.2137490639680837,1.07,96.96084,8.7
2009-04-01,0.0010070825195886979,169.1,-0.3441642109412113,0.89,97.40855,9.0
2009-05-01,0.0014714939189219844,170.8,-0.3441642109412113,0.57,97.79377,9.4
2009-06-01,0.008299612246622345,174.1,-0.3441642109412113,0.39,97.95326,9.5
