DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,541.9885862069,2999.8649,
1961-12-31,561.94031034483,3059.1608,2.3
1962-12-31,603.6394137931,3236.0131,6.1
1963-12-31,637.05855172414,3366.3698,4.4
1964-12-31,684.14462068966,3565.3144,5.8
1965-12-31,741.90486206896,3818.2883,6.4
1966-12-31,813.03275862069,4136.3083,6.5
1967-12-31,859.62003448276,4325.9594,2.5
1968-12-31,940.225,4684.5884,4.8
1969-12-31,1017.4381724138,5019.9982,3.1
1970-12-31,1073.303,5234.2967,0.2166
1971-12-31,1164.85,5609.3826,3.2927
1972-12-31,1279.11,6094.018,5.2555
1973-12-31,1425.376,6726.359,5.6457
1974-12-31,1545.243,7225.6914,-0.5406
1975-12-31,1684.904,7801.4567,-0.2056
1976-12-31,1873.412,8592.2535,5.388
1977-12-31,2081.826,9452.5765,4.6242
1978-12-31,2351.599,10564.9482,5.5352
1979-12-31,2627.333,11674.1819,3.166
1980-12-31,2857.307,12574.7915,-0.2568
1981-12-31,3207.041,13976.1054,2.5377
1982-12-31,3343.789,14433.7877,-1.803
1983-12-31,3634.038,15543.8937,4.5838
1984-12-31,4037.613,17121.2255,7.2365
1985-12-31,4338.979,18236.8277,4.1696
1986-12-31,4579.631,19071.2272,3.4627
1987-12-31,4855.215,20038.9411,3.4546
1988-12-31,5236.438,21417.0119,4.177
1989-12-31,5641.58,22857.1544,3.6722
1990-12-31,5963.144,23888.6,1.886
1991-12-31,6158.129,24342.2589,-0.1083
1992-12-31,6520.327,25418.9908,3.5225
1993-12-31,6858.559,26387.2937,2.7518
1994-12-31,7287.236,27694.8534,4.029
1995-12-31,7639.749,28690.8757,2.6844
1996-12-31,8073.122,29967.7127,3.7728
1997-12-31,8577.552,31459.13,4.4471
1998-12-31,9062.817,32853.6726,4.4831
1999-12-31,9631.172,34515.3813,4.7884
2000-12-31,10250.952,36329.9703,4.0776
2001-12-31,10581.929,37133.6204,0.9555
2002-12-31,10929.108,37997.7424,1.7004
2003-12-31,11456.45,39490.3024,2.7956
2004-12-31,12217.196,41724.6412,3.8478
2005-12-31,13039.197,44123.3996,3.4835
2006-12-31,13815.583,46301.9876,2.7845
2007-12-31,14474.228,48050.2274,2.0039
2008-12-31,14769.862,48570.0594,0.1136
2009-12-31,14478.067,47194.9501,-2.5765
2010-12-31,15048.971,48650.6643,2.6952
2011-12-31,15599.732,50065.9789,1.5644
2012-12-31,16253.97,51784.4115,2.2891
2013-12-31,16880.683,53409.7508,2.1178
2014-12-31,17608.138,55304.3155,2.5238
2015-12-31,18295.019,57040.2082,2.9456
2016-12-31,18804.913,58206.6142,1.8195
2017-12-31,19612.102,60322.2614,2.4576
2018-12-31,20656.516,63201.0458,2.9665
2019-12-31,21521.395,65548.0708,2.467
2020-12-31,21322.95,64317.3989,-2.2135
2021-12-31,23594.031,71055.8762,5.8002
2022-12-31,25744.108,77246.6739,1.9355
2023-12-31,27360.935,81695.1871,2.5427
