DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1961-12-31,2.3,,
1962-12-31,6.1,3.8,
1963-12-31,4.4,-1.7,
1964-12-31,5.8,1.4,
1965-12-31,6.4,0.6,
1966-12-31,6.5,0.1,
1967-12-31,2.5,-4,
1968-12-31,4.8,2.3,
1969-12-31,3.1,-1.7,
1970-12-31,0.2166,-2.88,
1971-12-31,3.2927,3.08,
1972-12-31,5.2555,1.96,
1973-12-31,5.6457,0.39,
1974-12-31,-0.5406,-6.19,
1975-12-31,-0.2056,0.34,
1976-12-31,5.388,5.59,
1977-12-31,4.6242,-0.76,
1978-12-31,5.5352,0.91,
1979-12-31,3.166,-2.37,
1980-12-31,-0.2568,-3.42,
1981-12-31,2.5377,2.79,
1982-12-31,-1.803,-4.34,
1983-12-31,4.5838,6.39,
1984-12-31,7.2365,2.65,
1985-12-31,4.1696,-3.07,
1986-12-31,3.4627,-0.71,
1987-12-31,3.4546,-0.01,
1988-12-31,4.177,0.72,
1989-12-31,3.6722,-0.5,
1990-12-31,1.886,-1.79,
1991-12-31,-0.1083,-1.99,
1992-12-31,3.5225,3.63,
1993-12-31,2.7518,-0.77,
1994-12-31,4.029,1.28,
1995-12-31,2.6844,-1.34,
1996-12-31,3.7728,1.09,
1997-12-31,4.4471,0.67,
1998-12-31,4.4831,0.04,
1999-12-31,4.7884,0.31,
2000-12-31,4.0776,-0.71,
2001-12-31,0.9555,-3.12,
2002-12-31,1.7004,0.74,
2003-12-31,2.7956,1.1,
2004-12-31,3.8478,1.05,
2005-12-31,3.4835,-0.36,
2006-12-31,2.7845,-0.7,
2007-12-31,2.0039,-0.78,
2008-12-31,0.1136,-1.89,
2009-12-31,-2.5765,-2.69,
2010-12-31,2.6952,5.27,
2011-12-31,1.5644,-1.13,
2012-12-31,2.2891,0.72,
2013-12-31,2.1178,-0.17,
2014-12-31,2.5238,0.41,
2015-12-31,2.9456,0.42,
2016-12-31,1.8195,-1.13,
2017-12-31,2.4576,0.64,
2018-12-31,2.9665,0.51,
2019-12-31,2.467,-0.5,
2020-12-31,-2.2135,-4.68,
2021-12-31,5.8002,8.01,
2022-12-31,1.9355,-3.86,
2023-12-31,2.5427,0.61,
